,Country(or dependency),Population(2020),Yearly_Change%,Net_change,Density,Land_Area,Migrants(net),Fert_Rate,Med_Age,Urban_POP%,World_Share%
163,Guyana,786552,0.48,3786.0,4.0,196850.0,-6000.0,2.5,27.0,27.0,0.01
164,Bhutan,771608,1.12,8516.0,20.0,38117.0,320.0,2.0,28.0,46.0,0.01
165,Solomon Islands,686884,2.55,17061.0,25.0,27990.0,-1600.0,4.4,20.0,23.0,0.01
166,Macao,649335,1.39,8890.0,21645.0,30.0,5000.0,1.2,39.0,59.445945945945944,0.01
167,Montenegro,628066,0.01,79.0,47.0,13450.0,-480.0,1.8,39.0,68.0,0.01
168,Luxembourg,625978,1.66,10249.0,242.0,2590.0,9741.0,1.5,40.0,88.0,0.01
169,Western Sahara,597339,2.55,14876.0,2.0,266000.0,5582.0,2.4,28.0,87.0,0.01
170,Suriname,586632,0.9,5260.0,4.0,156000.0,-1000.0,2.4,29.0,65.0,0.01
171,Cabo Verde,555987,1.1,6052.0,138.0,4030.0,-1342.0,2.3,28.0,68.0,0.01
172,Micronesia,548914,1.0,5428.0,784.0,700.0,-2957.0,2.9,27.0,68.0,0.01
173,Maldives,540544,1.81,9591.0,1802.0,300.0,11370.0,1.9,30.0,35.0,0.01
174,Malta,441543,0.27,1171.0,1380.0,320.0,900.0,1.5,43.0,93.0,0.01
175,Brunei ,437479,0.97,4194.0,83.0,5270.0,0.0,1.8,32.0,80.0,0.01
176,Guadeloupe,400124,0.02,68.0,237.0,1690.0,-1440.0,2.2,44.0,59.445945945945944,0.01
177,Belize,397628,1.86,7275.0,17.0,22810.0,1200.0,2.3,25.0,46.0,0.01
178,Bahamas,393244,0.97,3762.0,39.0,10010.0,1000.0,1.8,32.0,86.0,0.01
179,Martinique,375265,-0.08,-289.0,354.0,1060.0,-960.0,1.9,47.0,92.0,0.0
180,Iceland,341243,0.65,2212.0,3.0,100250.0,380.0,1.8,37.0,94.0,0.0
181,Vanuatu,307145,2.42,7263.0,25.0,12190.0,120.0,3.8,21.0,24.0,0.0
182,French Guiana,298682,2.7,7850.0,4.0,82200.0,1200.0,3.4,25.0,87.0,0.0
183,Barbados,287375,0.12,350.0,668.0,430.0,-79.0,1.6,40.0,31.0,0.0
184,New Caledonia,285498,0.97,2748.0,16.0,18280.0,502.0,2.0,34.0,72.0,0.0
185,French Polynesia,280908,0.58,1621.0,77.0,3660.0,-1000.0,2.0,34.0,64.0,0.0
186,Mayotte,272815,2.5,6665.0,728.0,375.0,0.0,3.7,20.0,46.0,0.0
187,Sao Tome & Principe,219159,1.91,4103.0,228.0,960.0,-1680.0,4.4,19.0,74.0,0.0
188,Samoa,198414,0.67,1317.0,70.0,2830.0,-2803.0,3.9,22.0,18.0,0.0
189,Saint Lucia,183627,0.46,837.0,301.0,610.0,0.0,1.4,34.0,19.0,0.0
190,Channel Islands,173863,0.93,1604.0,915.0,190.0,1351.0,1.5,43.0,30.0,0.0
191,Guam,168775,0.89,1481.0,313.0,540.0,-506.0,2.3,31.0,95.0,0.0
192,Curaçao,164093,0.41,669.0,370.0,444.0,515.0,1.8,42.0,89.0,0.0
193,Kiribati,119449,1.57,1843.0,147.0,810.0,-800.0,3.6,23.0,57.0,0.0
194,Grenada,112523,0.46,520.0,331.0,340.0,-200.0,2.1,32.0,35.0,0.0
195,St. Vincent & Grenadines,110940,0.32,351.0,284.0,390.0,-200.0,1.9,33.0,53.0,0.0
196,Aruba,106766,0.43,452.0,593.0,180.0,201.0,1.9,41.0,44.0,0.0
197,Tonga,105695,1.15,1201.0,147.0,720.0,-800.0,3.6,22.0,24.0,0.0
198,U.S. Virgin Islands,104425,-0.15,-153.0,298.0,350.0,-451.0,2.0,43.0,96.0,0.0
199,Seychelles,98347,0.62,608.0,214.0,460.0,-200.0,2.5,34.0,56.0,0.0
200,Antigua and Barbuda,97929,0.84,811.0,223.0,440.0,0.0,2.0,34.0,26.0,0.0
201,Isle of Man,85033,0.53,449.0,149.0,570.0,-5.442786069651741,2.6920398009950244,30.621890547263682,53.0,0.0
202,Andorra,77265,0.16,123.0,164.0,470.0,-5.442786069651741,2.6920398009950244,30.621890547263682,88.0,0.0
203,Dominica,71986,0.25,178.0,96.0,750.0,-5.442786069651741,2.6920398009950244,30.621890547263682,74.0,0.0
204,Cayman Islands,65722,1.19,774.0,274.0,240.0,-5.442786069651741,2.6920398009950244,30.621890547263682,97.0,0.0
205,Bermuda,62278,-0.36,-228.0,1246.0,50.0,-5.442786069651741,2.6920398009950244,30.621890547263682,97.0,0.0
206,Marshall Islands,59190,0.68,399.0,329.0,180.0,-5.442786069651741,2.6920398009950244,30.621890547263682,70.0,0.0
207,Northern Mariana Islands,57559,0.6,343.0,125.0,460.0,-5.442786069651741,2.6920398009950244,30.621890547263682,88.0,0.0
208,Greenland,56770,0.17,98.0,0.0,410450.0,-5.442786069651741,2.6920398009950244,30.621890547263682,87.0,0.0
209,American Samoa,55191,-0.22,-121.0,276.0,200.0,-5.442786069651741,2.6920398009950244,30.621890547263682,88.0,0.0
210,Saint Kitts & Nevis,53199,0.71,376.0,205.0,260.0,-5.442786069651741,2.6920398009950244,30.621890547263682,33.0,0.0
211,Faeroe Islands,48863,0.38,185.0,35.0,1396.0,-5.442786069651741,2.6920398009950244,30.621890547263682,43.0,0.0
212,Sint Maarten,42876,1.15,488.0,1261.0,34.0,-5.442786069651741,2.6920398009950244,30.621890547263682,96.0,0.0
213,Monaco,39242,0.71,278.0,26337.0,1.0,-5.442786069651741,2.6920398009950244,30.621890547263682,59.445945945945944,0.0
214,Turks and Caicos,38717,1.38,526.0,41.0,950.0,-5.442786069651741,2.6920398009950244,30.621890547263682,89.0,0.0
215,Saint Martin,38666,1.75,664.0,730.0,53.0,-5.442786069651741,2.6920398009950244,30.621890547263682,0.0,0.0
216,Liechtenstein,38128,0.29,109.0,238.0,160.0,-5.442786069651741,2.6920398009950244,30.621890547263682,15.0,0.0
217,San Marino,33931,0.21,71.0,566.0,60.0,-5.442786069651741,2.6920398009950244,30.621890547263682,97.0,0.0
218,Gibraltar,33691,-0.03,-10.0,3369.0,10.0,-5.442786069651741,2.6920398009950244,30.621890547263682,59.445945945945944,0.0
219,British Virgin Islands,30231,0.67,201.0,202.0,150.0,-5.442786069651741,2.6920398009950244,30.621890547263682,52.0,0.0
220,Caribbean Netherlands,26223,0.94,244.0,80.0,328.0,-5.442786069651741,2.6920398009950244,30.621890547263682,75.0,0.0
221,Palau,18094,0.48,86.0,39.0,460.0,-5.442786069651741,2.6920398009950244,30.621890547263682,59.445945945945944,0.0
222,Cook Islands,17564,0.09,16.0,73.0,240.0,-5.442786069651741,2.6920398009950244,30.621890547263682,75.0,0.0
223,Anguilla,15003,0.9,134.0,167.0,90.0,-5.442786069651741,2.6920398009950244,30.621890547263682,59.445945945945944,0.0
224,Tuvalu,11792,1.25,146.0,393.0,30.0,-5.442786069651741,2.6920398009950244,30.621890547263682,62.0,0.0
225,Wallis & Futuna,11239,-1.69,-193.0,80.0,140.0,-5.442786069651741,2.6920398009950244,30.621890547263682,0.0,0.0
226,Nauru,10824,0.63,68.0,541.0,20.0,-5.442786069651741,2.6920398009950244,30.621890547263682,59.445945945945944,0.0
227,Saint Barthelemy,9877,0.3,30.0,470.0,21.0,-5.442786069651741,2.6920398009950244,30.621890547263682,0.0,0.0
228,Saint Helena,6077,0.3,18.0,16.0,390.0,-5.442786069651741,2.6920398009950244,30.621890547263682,27.0,0.0
229,Saint Pierre & Miquelon,5794,-0.48,-28.0,25.0,230.0,-5.442786069651741,2.6920398009950244,30.621890547263682,100.0,0.0
230,Montserrat,4992,0.06,3.0,50.0,100.0,-5.442786069651741,2.6920398009950244,30.621890547263682,10.0,0.0
231,Falkland Islands,3480,3.05,103.0,0.0,12170.0,-5.442786069651741,2.6920398009950244,30.621890547263682,66.0,0.0
232,Niue,1626,0.68,11.0,6.0,260.0,-5.442786069651741,2.6920398009950244,30.621890547263682,46.0,0.0
233,Tokelau,1357,1.27,17.0,136.0,10.0,-5.442786069651741,2.6920398009950244,30.621890547263682,0.0,0.0
234,Holy See,801,0.25,2.0,2003.0,0.0,-5.442786069651741,2.6920398009950244,30.621890547263682,59.445945945945944,0.0
